code,name_short,gender,function,country_code,country,nationality,height,weight,disciplines,events,birth_date,occupation,coach,influence,ritual,cluster
1970277,MOLENAAR K,Female,Athlete,NED,Netherlands,Netherlands,178,0.0,['Handball'],['Women'],,Athlete,National: Per Johansson (SWE).<br>Club: Bo Spellerberg (DEN),,,2
1970280,van der HELM J,Female,Athlete,NED,Netherlands,Netherlands,182,0.0,['Handball'],['Women'],,Athlete,National: Per Johansson (SWE).<br>Club: Rene Zwinkels (NED),,,2
1970291,ABBINGH L,Female,Athlete,NED,Netherlands,Netherlands,178,0.0,['Handball'],['Women'],,Athlete,National: Per Johansson (SWE).<br>Club: Tomas Hlavaty (SVK),Her parents,,2
1970294,van WETERING B,Female,Athlete,NED,Netherlands,Netherlands,171,0.0,['Handball'],['Women'],,Athlete,National: Per Johansson (SWE).<br>Club: Ole Gustav Gjekstad (NOR),,,2
1970295,TEN HOLTE Y,Female,Athlete,NED,Netherlands,Netherlands,175,0.0,['Handball'],['Women'],,"Athlete, student",National: Per Johansson (SWE).<br>Club: Henk Groener (NED),,,2
1970296,van der VLIET N,Female,Athlete,NED,Netherlands,Netherlands,173,0.0,['Handball'],['Women'],,Athlete,National: Per Johansson (SWE).<br>Club: Ole Gustav Gjekstad (NOR),,,2
1970300,WAKIM P,Male,Athlete,LBN,Lebanon,Lebanon,0,0.0,['Fencing'],"[""Men's Foil Individual""]",,Student,,,,2
1970338,HAKIMI A,Male,Athlete,MAR,Morocco,Morocco,181,0.0,['Football'],['Men'],,Athlete,National: Walid Regragui (MAR).<br>Club: Luis Enrique (ESP),,,2
1970367,NYANTAI B,Male,Athlete,MGL,Mongolia,Mongolia,0,0.0,['Shooting'],"['10m Air Rifle Men', '50m Rifle 3 Positions Men', '10m Air Rifle Mixed Team']",,Athlete,National: Janchivdori Gankhuyag (MGL),,,2
1970495,van AANHOLT O,Female,Athlete,NED,Netherlands,Netherlands,0,0.0,['Sailing'],"[""Women's Skiff""]",,"Athlete, yoga instructor",Kaj Bocker (NED),,,2
1970497,WENNEKES S,Female,Athlete,NED,Netherlands,Netherlands,0,0.0,['Sailing'],"[""Women's Windsurfing""]",,Athlete,Matthieu Koops (NED),Her parents,,2
1970500,BOUWMEESTER M,Female,Athlete,NED,Netherlands,Netherlands,0,0.0,['Sailing'],"[""Women's Dinghy""]",,Athlete,"Personal: Roelof Bouwmeester (NED), her brother.<br>Jaap Zielhuis (NED)",,,2
1970502,LAMBRIEX B,Male,Athlete,NED,Netherlands,Netherlands,0,0.0,['Sailing'],"[""Men's Skiff""]",,Athlete,Personal: Rick Peacock (GBR).<br>National: Arnaud Hummer (NED),,,2
