edition,edition_id,year,country,gold,silver,bronze,total,previous_medals,predicted_medals
2008 Summer Olympics,53,2008,Mauritius,0,0,1,1,0.0,1.0
2008 Summer Olympics,53,2008,Republic of Moldova,0,0,1,1,2.0,1.0
2008 Summer Olympics,53,2008,Togo,0,0,1,1,0.0,1.0
2008 Summer Olympics,53,2008,Venezuela,0,0,1,1,2.0,1.0
2012 Summer Olympics,54,2012,United States,48,26,30,104,112.0,102.2
2012 Summer Olympics,54,2012,People's Republic of China,39,31,22,92,100.0,93.08
2012 Summer Olympics,54,2012,Great Britain,29,18,18,65,51.0,65.62
2012 Summer Olympics,54,2012,Russian Federation,18,21,26,65,60.0,64.77
2012 Summer Olympics,54,2012,Republic of Korea,13,9,8,30,32.0,30.19
2012 Summer Olympics,54,2012,Germany,11,20,13,44,41.0,44.04
2012 Summer Olympics,54,2012,France,11,11,13,35,43.0,35.06
2012 Summer Olympics,54,2012,Australia,8,15,12,35,46.0,36.62
2012 Summer Olympics,54,2012,Italy,8,9,11,28,27.0,28.04
2012 Summer Olympics,54,2012,Hungary,8,4,6,18,10.0,16.26
2012 Summer Olympics,54,2012,Japan,7,14,17,38,25.0,37.43
2012 Summer Olympics,54,2012,Islamic Republic of Iran,7,5,1,13,2.0,13.47
2012 Summer Olympics,54,2012,Netherlands,6,6,8,20,16.0,20.12
2012 Summer Olympics,54,2012,New Zealand,6,2,5,13,9.0,13.19
2012 Summer Olympics,54,2012,Ukraine,5,4,10,19,22.0,18.8
2012 Summer Olympics,54,2012,Cuba,5,3,7,15,30.0,14.87
2012 Summer Olympics,54,2012,Spain,4,10,6,20,19.0,20.46
2012 Summer Olympics,54,2012,Jamaica,4,5,4,13,11.0,12.55
2012 Summer Olympics,54,2012,Czechia,4,4,3,11,7.0,10.86
2012 Summer Olympics,54,2012,South Africa,4,1,1,6,1.0,6.09
2012 Summer Olympics,54,2012,Democratic People's Republic of Korea,4,0,3,7,6.0,7.34
2012 Summer Olympics,54,2012,Brazil,3,5,9,17,17.0,17.28
2012 Summer Olympics,54,2012,Poland,3,2,6,11,11.0,11.38
2012 Summer Olympics,54,2012,Ethiopia,3,2,3,8,7.0,7.91
2012 Summer Olympics,54,2012,Kazakhstan,3,1,7,11,9.0,11.81
2012 Summer Olympics,54,2012,Croatia,3,1,2,6,5.0,5.98
2012 Summer Olympics,54,2012,Canada,2,6,10,18,20.0,17.91
2012 Summer Olympics,54,2012,Belarus,2,5,3,10,14.0,9.92
2012 Summer Olympics,54,2012,Kenya,2,4,7,13,16.0,12.22
2012 Summer Olympics,54,2012,Denmark,2,4,3,9,7.0,9.09
2012 Summer Olympics,54,2012,Romania,2,4,1,7,9.0,7.23
2012 Summer Olympics,54,2012,Azerbaijan,2,2,5,9,6.0,8.88
2012 Summer Olympics,54,2012,Switzerland,2,2,0,4,7.0,4.04
2012 Summer Olympics,54,2012,Norway,2,1,1,4,9.0,4.02
2012 Summer Olympics,54,2012,Lithuania,2,0,3,5,5.0,5.16
2012 Summer Olympics,54,2012,Tunisia,2,0,1,3,1.0,3.01
2012 Summer Olympics,54,2012,Sweden,1,4,3,8,5.0,8.04
2012 Summer Olympics,54,2012,Colombia,1,3,5,9,3.0,9.02
2012 Summer Olympics,54,2012,Mexico,1,3,4,8,4.0,8.05
2012 Summer Olympics,54,2012,Georgia,1,2,3,6,7.0,6.03
2012 Summer Olympics,54,2012,Ireland,1,1,4,6,3.0,5.9
2012 Summer Olympics,54,2012,Argentina,1,1,2,4,6.0,4.0
2012 Summer Olympics,54,2012,Serbia,1,1,2,4,3.0,4.0
2012 Summer Olympics,54,2012,Slovenia,1,1,2,4,5.0,4.0
2012 Summer Olympics,54,2012,Trinidad and Tobago,1,1,2,4,2.0,4.0
2012 Summer Olympics,54,2012,Türkiye,1,1,1,3,5.0,3.0
2012 Summer Olympics,54,2012,Dominican Republic,1,1,0,2,2.0,2.0
2012 Summer Olympics,54,2012,Chinese Taipei,1,0,1,2,4.0,2.0
2012 Summer Olympics,54,2012,Latvia,1,0,1,2,3.0,2.0
2012 Summer Olympics,54,2012,Algeria,1,0,0,1,2.0,1.0
2012 Summer Olympics,54,2012,Bahrain,1,0,0,1,0.0,1.0
2012 Summer Olympics,54,2012,Grenada,1,0,0,1,0.0,1.0
2012 Summer Olympics,54,2012,The Bahamas,1,0,0,1,2.0,1.0
2012 Summer Olympics,54,2012,Uganda,1,0,0,1,1.0,1.0
2012 Summer Olympics,54,2012,Venezuela,1,0,0,1,1.0,1.0
2012 Summer Olympics,54,2012,Egypt,0,3,1,4,2.0,4.13
2012 Summer Olympics,54,2012,India,0,2,4,6,3.0,6.1
2012 Summer Olympics,54,2012,Mongolia,0,2,3,5,4.0,5.02
2012 Summer Olympics,54,2012,Thailand,0,2,2,4,6.0,4.06
2012 Summer Olympics,54,2012,Bulgaria,0,2,1,3,5.0,3.0
2012 Summer Olympics,54,2012,Finland,0,2,1,3,4.0,3.0
2012 Summer Olympics,54,2012,Indonesia,0,2,1,3,6.0,3.0
2012 Summer Olympics,54,2012,Slovakia,0,1,3,4,6.0,4.0
2012 Summer Olympics,54,2012,Belgium,0,1,2,3,2.0,3.0
2012 Summer Olympics,54,2012,Armenia,0,1,1,2,5.0,2.0
2012 Summer Olympics,54,2012,Estonia,0,1,1,2,2.0,2.0
2012 Summer Olympics,54,2012,Malaysia,0,1,1,2,1.0,2.0
2012 Summer Olympics,54,2012,Puerto Rico,0,1,1,2,1.0,2.0
2012 Summer Olympics,54,2012,Qatar,0,1,1,2,1.0,2.0
2012 Summer Olympics,54,2012,Botswana,0,1,0,1,0.0,1.0
2012 Summer Olympics,54,2012,Cyprus,0,1,0,1,0.0,1.0
2012 Summer Olympics,54,2012,Gabon,0,1,0,1,0.0,1.0
2012 Summer Olympics,54,2012,Guatemala,0,1,0,1,0.0,1.0
2012 Summer Olympics,54,2012,Montenegro,0,1,0,1,0.0,1.0
2012 Summer Olympics,54,2012,Portugal,0,1,0,1,2.0,1.0
2012 Summer Olympics,54,2012,Uzbekistan,0,0,3,3,4.0,3.03
2012 Summer Olympics,54,2012,Greece,0,0,2,2,3.0,2.0
2012 Summer Olympics,54,2012,Singapore,0,0,2,2,1.0,2.0
2012 Summer Olympics,54,2012,Afghanistan,0,0,1,1,1.0,1.0
2012 Summer Olympics,54,2012,Cameroon,0,0,1,1,1.0,1.0
2012 Summer Olympics,54,2012,"Hong Kong, China",0,0,1,1,1.0,1.0
2012 Summer Olympics,54,2012,Kingdom of Saudi Arabia,0,0,1,1,2.0,1.0
2012 Summer Olympics,54,2012,Kuwait,0,0,1,1,1.0,1.0
2012 Summer Olympics,54,2012,Morocco,0,0,1,1,2.0,1.0
2012 Summer Olympics,54,2012,Tajikistan,0,0,1,1,2.0,1.0
2012 Summer Olympics,54,2012,Vietnam,0,0,1,1,1.0,1.0
2016 Summer Olympics,59,2016,United States,46,37,38,121,104.0,119.03
2016 Summer Olympics,59,2016,Great Britain,27,23,17,67,65.0,62.86
2016 Summer Olympics,59,2016,People's Republic of China,26,18,26,70,92.0,67.44
2016 Summer Olympics,59,2016,Russian Federation,19,17,20,56,65.0,58.12
2016 Summer Olympics,59,2016,Germany,17,10,15,42,44.0,44.39
2016 Summer Olympics,59,2016,Japan,12,8,21,41,38.0,35.98
2016 Summer Olympics,59,2016,France,10,18,14,42,35.0,43.59
2016 Summer Olympics,59,2016,Republic of Korea,9,3,9,21,30.0,20.89
2016 Summer Olympics,59,2016,Italy,8,12,8,28,28.0,27.27
2016 Summer Olympics,59,2016,Australia,8,11,10,29,35.0,27.79
2016 Summer Olympics,59,2016,Netherlands,8,7,4,19,20.0,18.61
2016 Summer Olympics,59,2016,Hungary,8,3,4,15,18.0,15.02
2016 Summer Olympics,59,2016,Brazil,7,6,6,19,17.0,19.19
2016 Summer Olympics,59,2016,Spain,7,4,6,17,20.0,15.95
2016 Summer Olympics,59,2016,Kenya,6,6,1,13,13.0,13.14
2016 Summer Olympics,59,2016,Jamaica,6,3,2,11,13.0,11.28
2016 Summer Olympics,59,2016,Croatia,5,3,2,10,6.0,10.24
2016 Summer Olympics,59,2016,Cuba,5,2,4,11,15.0,10.95
2016 Summer Olympics,59,2016,New Zealand,4,9,5,18,13.0,18.84
2016 Summer Olympics,59,2016,Canada,4,3,15,22,18.0,21.02
2016 Summer Olympics,59,2016,Uzbekistan,4,2,7,13,3.0,12.59
2016 Summer Olympics,59,2016,Colombia,3,2,3,8,9.0,8.02
2016 Summer Olympics,59,2016,Switzerland,3,2,2,7,4.0,6.97
2016 Summer Olympics,59,2016,Islamic Republic of Iran,3,1,4,8,13.0,8.65
2016 Summer Olympics,59,2016,Greece,3,1,2,6,2.0,5.9
2016 Summer Olympics,59,2016,Argentina,3,1,0,4,4.0,3.91
2016 Summer Olympics,59,2016,Denmark,2,6,7,15,9.0,15.88
2016 Summer Olympics,59,2016,Sweden,2,6,3,11,8.0,10.63
2016 Summer Olympics,59,2016,South Africa,2,6,2,10,6.0,9.81
2016 Summer Olympics,59,2016,Kazakhstan,2,5,10,17,11.0,17.13
2016 Summer Olympics,59,2016,Ukraine,2,5,4,11,19.0,10.95
2016 Summer Olympics,59,2016,Serbia,2,4,2,8,4.0,8.07
2016 Summer Olympics,59,2016,Poland,2,3,6,11,11.0,10.55
2016 Summer Olympics,59,2016,Democratic People's Republic of Korea,2,3,2,7,7.0,6.97
2016 Summer Olympics,59,2016,Belgium,2,2,2,6,3.0,6.02
2016 Summer Olympics,59,2016,Thailand,2,2,2,6,4.0,6.02
2016 Summer Olympics,59,2016,Slovakia,2,2,0,4,4.0,4.05
2016 Summer Olympics,59,2016,Georgia,2,1,4,7,6.0,6.64
2016 Summer Olympics,59,2016,Azerbaijan,1,7,10,18,9.0,17.87
2016 Summer Olympics,59,2016,Belarus,1,4,4,9,10.0,8.93
2016 Summer Olympics,59,2016,Türkiye,1,3,4,8,3.0,7.97
2016 Summer Olympics,59,2016,Armenia,1,3,0,4,2.0,4.1
2016 Summer Olympics,59,2016,Czechia,1,2,7,10,11.0,10.0
2016 Summer Olympics,59,2016,Ethiopia,1,2,5,8,8.0,8.18
2016 Summer Olympics,59,2016,Slovenia,1,2,1,4,4.0,3.98
2016 Summer Olympics,59,2016,Indonesia,1,2,0,3,3.0,3.01
2016 Summer Olympics,59,2016,Romania,1,1,2,4,7.0,4.0
2016 Summer Olympics,59,2016,Bahrain,1,1,0,2,1.0,2.0
2016 Summer Olympics,59,2016,Vietnam,1,1,0,2,1.0,2.0
2016 Summer Olympics,59,2016,Chinese Taipei,1,0,2,3,2.0,3.01
2016 Summer Olympics,59,2016,Côte d'Ivoire,1,0,1,2,1.0,2.0
2016 Summer Olympics,59,2016,Independent Olympic Athletes,1,0,1,2,3.0,2.0
2016 Summer Olympics,59,2016,The Bahamas,1,0,1,2,1.0,2.0
2016 Summer Olympics,59,2016,Fiji,1,0,0,1,0.0,1.0
2016 Summer Olympics,59,2016,Jordan,1,0,0,1,0.0,1.0
2016 Summer Olympics,59,2016,Kosovo,1,0,0,1,0.0,1.0
2016 Summer Olympics,59,2016,Puerto Rico,1,0,0,1,2.0,1.0
2016 Summer Olympics,59,2016,Singapore,1,0,0,1,2.0,1.0
2016 Summer Olympics,59,2016,Tajikistan,1,0,0,1,1.0,1.0
2016 Summer Olympics,59,2016,Malaysia,0,4,1,5,2.0,4.66
2016 Summer Olympics,59,2016,Mexico,0,3,2,5,8.0,5.03
2016 Summer Olympics,59,2016,Venezuela,0,2,1,3,1.0,3.0
2016 Summer Olympics,59,2016,Algeria,0,2,0,2,1.0,2.0
2016 Summer Olympics,59,2016,Ireland,0,2,0,2,6.0,2.0
2016 Summer Olympics,59,2016,Lithuania,0,1,3,4,5.0,3.99
2016 Summer Olympics,59,2016,Bulgaria,0,1,2,3,3.0,3.0
2016 Summer Olympics,59,2016,India,0,1,1,2,6.0,2.0
2016 Summer Olympics,59,2016,Mongolia,0,1,1,2,5.0,2.0
2016 Summer Olympics,59,2016,Burundi,0,1,0,1,1.0,1.0
2016 Summer Olympics,59,2016,Grenada,0,1,0,1,1.0,1.0
2016 Summer Olympics,59,2016,Niger,0,1,0,1,1.0,1.0
2016 Summer Olympics,59,2016,Philippines,0,1,0,1,1.0,1.0
2016 Summer Olympics,59,2016,Qatar,0,1,0,1,2.0,1.0
2016 Summer Olympics,59,2016,Norway,0,0,4,4,4.0,4.06
2016 Summer Olympics,59,2016,Egypt,0,0,3,3,4.0,3.04
2016 Summer Olympics,59,2016,Tunisia,0,0,3,3,3.0,3.02
2016 Summer Olympics,59,2016,Israel,0,0,2,2,1.0,2.0
2016 Summer Olympics,59,2016,Austria,0,0,1,1,3.0,1.0
2016 Summer Olympics,59,2016,Dominican Republic,0,0,1,1,2.0,1.0
2016 Summer Olympics,59,2016,Estonia,0,0,1,1,2.0,1.0
2016 Summer Olympics,59,2016,Finland,0,0,1,1,3.0,1.0
2016 Summer Olympics,59,2016,Morocco,0,0,1,1,1.0,1.0
2016 Summer Olympics,59,2016,Nigeria,0,0,1,1,5.0,1.0
2016 Summer Olympics,59,2016,Portugal,0,0,1,1,1.0,1.0
2016 Summer Olympics,59,2016,Trinidad and Tobago,0,0,1,1,4.0,1.0
2016 Summer Olympics,59,2016,United Arab Emirates,0,0,1,1,1.0,1.0
2020 Summer Olympics,61,2020,United States,39,41,33,113,121.0,110.11
2020 Summer Olympics,61,2020,People's Republic of China,38,32,19,89,70.0,91.24
2020 Summer Olympics,61,2020,Japan,27,14,17,58,41.0,56.67
2020 Summer Olympics,61,2020,Great Britain,22,20,22,64,67.0,64.18
2020 Summer Olympics,61,2020,ROC,20,28,23,71,0.0,72.15
2020 Summer Olympics,61,2020,Australia,17,7,22,46,29.0,46.1
2020 Summer Olympics,61,2020,Netherlands,10,12,14,36,19.0,35.55
2020 Summer Olympics,61,2020,France,10,12,11,33,42.0,33.12
2020 Summer Olympics,61,2020,Germany,10,11,16,37,42.0,38.48
2020 Summer Olympics,61,2020,Italy,10,10,20,40,28.0,38.91
2020 Summer Olympics,61,2020,Canada,7,7,10,24,22.0,23.37
2020 Summer Olympics,61,2020,Brazil,7,6,8,21,19.0,21.08
2020 Summer Olympics,61,2020,New Zealand,7,6,7,20,18.0,20.35
2020 Summer Olympics,61,2020,Cuba,7,3,5,15,11.0,14.75
2020 Summer Olympics,61,2020,Hungary,6,7,7,20,15.0,19.9
2020 Summer Olympics,61,2020,Republic of Korea,6,4,10,20,21.0,19.8
2020 Summer Olympics,61,2020,Poland,4,5,5,14,11.0,14.34
2020 Summer Olympics,61,2020,Czechia,4,4,3,11,10.0,10.96
2020 Summer Olympics,61,2020,Kenya,4,4,2,10,13.0,9.88
2020 Summer Olympics,61,2020,Norway,4,2,2,8,4.0,7.58
2020 Summer Olympics,61,2020,Jamaica,4,1,4,9,11.0,8.89
2020 Summer Olympics,61,2020,Spain,3,8,6,17,17.0,16.96
2020 Summer Olympics,61,2020,Sweden,3,6,0,9,11.0,9.22
2020 Summer Olympics,61,2020,Switzerland,3,4,6,13,7.0,12.65
2020 Summer Olympics,61,2020,Denmark,3,4,4,11,15.0,10.69
2020 Summer Olympics,61,2020,Croatia,3,3,2,8,10.0,7.93
2020 Summer Olympics,61,2020,Islamic Republic of Iran,3,2,2,7,8.0,7.04
2020 Summer Olympics,61,2020,Serbia,3,1,5,9,8.0,9.39
2020 Summer Olympics,61,2020,Belgium,3,1,3,7,6.0,7.24
2020 Summer Olympics,61,2020,Bulgaria,3,1,2,6,3.0,5.88
2020 Summer Olympics,61,2020,Slovenia,3,1,1,5,4.0,5.05
2020 Summer Olympics,61,2020,Uzbekistan,3,0,2,5,13.0,5.24
2020 Summer Olympics,61,2020,Georgia,2,5,1,8,7.0,8.14
2020 Summer Olympics,61,2020,Chinese Taipei,2,4,6,12,3.0,11.25
2020 Summer Olympics,61,2020,Türkiye,2,2,9,13,8.0,12.96
2020 Summer Olympics,61,2020,Greece,2,1,1,4,6.0,4.03
2020 Summer Olympics,61,2020,Uganda,2,1,1,4,1.0,4.02
2020 Summer Olympics,61,2020,Ecuador,2,1,0,3,1.0,3.07
2020 Summer Olympics,61,2020,Ireland,2,0,2,4,2.0,4.04
2020 Summer Olympics,61,2020,Israel,2,0,2,4,2.0,4.04
2020 Summer Olympics,61,2020,Qatar,2,0,1,3,1.0,3.01
2020 Summer Olympics,61,2020,Kosovo,2,0,0,2,1.0,2.02
2020 Summer Olympics,61,2020,The Bahamas,2,0,0,2,2.0,2.02
2020 Summer Olympics,61,2020,Ukraine,1,6,12,19,11.0,23.04
2020 Summer Olympics,61,2020,Belarus,1,3,3,7,9.0,7.12
2020 Summer Olympics,61,2020,Romania,1,3,0,4,4.0,4.04
2020 Summer Olympics,61,2020,Venezuela,1,3,0,4,3.0,4.04
2020 Summer Olympics,61,2020,India,1,2,4,7,2.0,7.07
2020 Summer Olympics,61,2020,"Hong Kong, China",1,2,3,6,1.0,6.04
2020 Summer Olympics,61,2020,Philippines,1,2,1,4,1.0,3.99
2020 Summer Olympics,61,2020,Slovakia,1,2,1,4,4.0,3.99
2020 Summer Olympics,61,2020,South Africa,1,2,0,3,10.0,3.01
2020 Summer Olympics,61,2020,Austria,1,1,5,7,1.0,7.52
2020 Summer Olympics,61,2020,Egypt,1,1,4,6,3.0,5.93
2020 Summer Olympics,61,2020,Indonesia,1,1,3,5,3.0,4.99
2020 Summer Olympics,61,2020,Ethiopia,1,1,2,4,8.0,4.0
2020 Summer Olympics,61,2020,Portugal,1,1,2,4,1.0,4.0
2020 Summer Olympics,61,2020,Tunisia,1,1,0,2,3.0,2.0
2020 Summer Olympics,61,2020,Estonia,1,0,1,2,1.0,2.0
2020 Summer Olympics,61,2020,Fiji,1,0,1,2,1.0,2.0
2020 Summer Olympics,61,2020,Latvia,1,0,1,2,2.0,2.0
2020 Summer Olympics,61,2020,Thailand,1,0,1,2,6.0,2.0
2020 Summer Olympics,61,2020,Bermuda,1,0,0,1,1.0,1.0
2020 Summer Olympics,61,2020,Morocco,1,0,0,1,1.0,1.0
2020 Summer Olympics,61,2020,Puerto Rico,1,0,0,1,1.0,1.0
2020 Summer Olympics,61,2020,Colombia,0,4,1,5,8.0,4.85
2020 Summer Olympics,61,2020,Azerbaijan,0,3,4,7,18.0,7.0
2020 Summer Olympics,61,2020,Dominican Republic,0,3,2,5,1.0,5.03
2020 Summer Olympics,61,2020,Armenia,0,2,2,4,4.0,4.07
2020 Summer Olympics,61,2020,Kyrgyzstan,0,2,1,3,3.0,3.01
2020 Summer Olympics,61,2020,Mongolia,0,1,3,4,2.0,4.04
2020 Summer Olympics,61,2020,Argentina,0,1,2,3,4.0,3.0
2020 Summer Olympics,61,2020,San Marino,0,1,2,3,0.0,3.0
2020 Summer Olympics,61,2020,Jordan,0,1,1,2,1.0,2.0
2020 Summer Olympics,61,2020,Malaysia,0,1,1,2,5.0,2.0
2020 Summer Olympics,61,2020,Nigeria,0,1,1,2,1.0,2.0
2020 Summer Olympics,61,2020,Bahrain,0,1,0,1,2.0,1.0
2020 Summer Olympics,61,2020,Kingdom of Saudi Arabia,0,1,0,1,1.0,1.0
2020 Summer Olympics,61,2020,Lithuania,0,1,0,1,4.0,1.0
2020 Summer Olympics,61,2020,Namibia,0,1,0,1,2.0,1.0
2020 Summer Olympics,61,2020,North Macedonia,0,1,0,1,1.0,1.0
2020 Summer Olympics,61,2020,Turkmenistan,0,1,0,1,0.0,1.0
2020 Summer Olympics,61,2020,Kazakhstan,0,0,8,8,17.0,8.32
2020 Summer Olympics,61,2020,Mexico,0,0,4,4,5.0,4.1
2020 Summer Olympics,61,2020,Finland,0,0,2,2,1.0,2.0
2020 Summer Olympics,61,2020,Botswana,0,0,1,1,1.0,1.0
2020 Summer Olympics,61,2020,Burkina Faso,0,0,1,1,0.0,1.0
2020 Summer Olympics,61,2020,Côte d'Ivoire,0,0,1,1,2.0,1.0
2020 Summer Olympics,61,2020,Ghana,0,0,1,1,1.0,1.0
2020 Summer Olympics,61,2020,Grenada,0,0,1,1,1.0,1.0
2020 Summer Olympics,61,2020,Kuwait,0,0,1,1,1.0,1.0
2020 Summer Olympics,61,2020,Republic of Moldova,0,0,1,1,1.0,1.0
2020 Summer Olympics,61,2020,Syrian Arab Republic,0,0,1,1,1.0,1.0
1924 Winter Olympics,29,1924,Norway,4,7,6,17,8.0,17.06
1924 Winter Olympics,29,1924,Finland,4,4,3,11,2.0,10.3
1924 Winter Olympics,29,1924,Austria,2,1,0,3,7.0,3.1
1924 Winter Olympics,29,1924,Switzerland,2,0,1,3,13.0,3.0
1924 Winter Olympics,29,1924,United States,1,2,1,4,113.0,4.0
1924 Winter Olympics,29,1924,Great Britain,1,1,2,4,64.0,4.0
1924 Winter Olympics,29,1924,Sweden,1,1,0,2,9.0,2.0
1924 Winter Olympics,29,1924,Canada,1,0,0,1,24.0,1.0
1924 Winter Olympics,29,1924,Mixed team,1,0,0,1,1.0,1.0
1924 Winter Olympics,29,1924,France,0,0,3,3,33.0,3.04
1924 Winter Olympics,29,1924,Belgium,0,0,1,1,7.0,1.0
1928 Winter Olympics,30,1928,Norway,6,4,5,15,17.0,14.86
1928 Winter Olympics,30,1928,United States,2,2,2,6,4.0,6.13
1928 Winter Olympics,30,1928,Sweden,2,2,1,5,2.0,4.97
1928 Winter Olympics,30,1928,Finland,2,1,1,4,11.0,4.0
1928 Winter Olympics,30,1928,Canada,1,0,0,1,1.0,1.0
1928 Winter Olympics,30,1928,France,1,0,0,1,3.0,1.0
1928 Winter Olympics,30,1928,Austria,0,3,1,4,3.0,4.01
1928 Winter Olympics,30,1928,Belgium,0,0,1,1,1.0,1.0
1928 Winter Olympics,30,1928,Czechoslovakia,0,0,1,1,7.0,1.0
1928 Winter Olympics,30,1928,Germany,0,0,1,1,37.0,1.0
1928 Winter Olympics,30,1928,Great Britain,0,0,1,1,4.0,1.0
1928 Winter Olympics,30,1928,Switzerland,0,0,1,1,3.0,1.0
1932 Winter Olympics,31,1932,United States,6,4,2,12,6.0,11.94
1932 Winter Olympics,31,1932,Norway,3,4,3,10,15.0,9.97
1932 Winter Olympics,31,1932,Sweden,1,2,0,3,5.0,3.0
1932 Winter Olympics,31,1932,Canada,1,1,5,7,1.0,7.22
1932 Winter Olympics,31,1932,Finland,1,1,1,3,4.0,3.0
1932 Winter Olympics,31,1932,Austria,1,1,0,2,4.0,2.0
1932 Winter Olympics,31,1932,France,1,0,0,1,1.0,1.0
1932 Winter Olympics,31,1932,Switzerland,0,1,0,1,1.0,1.0
1932 Winter Olympics,31,1932,Germany,0,0,2,2,1.0,2.0
1932 Winter Olympics,31,1932,Hungary,0,0,1,1,20.0,1.0
1936 Winter Olympics,32,1936,Norway,7,5,3,15,10.0,14.7
1936 Winter Olympics,32,1936,Germany,3,3,0,6,2.0,6.24
1936 Winter Olympics,32,1936,Sweden,2,2,3,7,3.0,6.99
1936 Winter Olympics,32,1936,Finland,1,2,3,6,3.0,6.01
1936 Winter Olympics,32,1936,Switzerland,1,2,0,3,1.0,3.0
1936 Winter Olympics,32,1936,Austria,1,1,2,4,2.0,4.0
1936 Winter Olympics,32,1936,Great Britain,1,1,1,3,1.0,3.0
1936 Winter Olympics,32,1936,United States,1,0,3,4,12.0,3.94
1936 Winter Olympics,32,1936,Canada,0,1,0,1,7.0,1.0
1936 Winter Olympics,32,1936,France,0,0,1,1,1.0,1.0
1936 Winter Olympics,32,1936,Hungary,0,0,1,1,1.0,1.0
1948 Winter Olympics,33,1948,Norway,4,3,3,10,15.0,9.97
1948 Winter Olympics,33,1948,Sweden,4,3,3,10,7.0,9.94
1948 Winter Olympics,33,1948,Switzerland,3,4,3,10,3.0,9.73
1948 Winter Olympics,33,1948,United States,3,4,2,9,4.0,9.01
1948 Winter Olympics,33,1948,France,2,1,2,5,1.0,5.0
1948 Winter Olympics,33,1948,Canada,2,0,1,3,1.0,3.0
1948 Winter Olympics,33,1948,Austria,1,3,4,8,4.0,8.13
1948 Winter Olympics,33,1948,Finland,1,3,2,6,6.0,6.02
1948 Winter Olympics,33,1948,Belgium,1,1,0,2,1.0,2.0
1948 Winter Olympics,33,1948,Italy,1,0,0,1,40.0,1.0
1948 Winter Olympics,33,1948,Czechoslovakia,0,1,0,1,1.0,1.0
1948 Winter Olympics,33,1948,Hungary,0,1,0,1,1.0,1.0
1948 Winter Olympics,33,1948,Great Britain,0,0,2,2,3.0,2.0
1952 Winter Olympics,34,1952,Norway,7,3,6,16,10.0,15.81
1952 Winter Olympics,34,1952,United States,4,6,1,11,9.0,11.61
1952 Winter Olympics,34,1952,Finland,3,4,2,9,6.0,9.0
1952 Winter Olympics,34,1952,Germany,3,2,2,7,6.0,7.05
1952 Winter Olympics,34,1952,Austria,2,4,2,8,8.0,8.03
1952 Winter Olympics,34,1952,Canada,1,0,1,2,3.0,2.0
1952 Winter Olympics,34,1952,Italy,1,0,1,2,1.0,2.0
1952 Winter Olympics,34,1952,Great Britain,1,0,0,1,2.0,1.0
1952 Winter Olympics,34,1952,Netherlands,0,3,0,3,36.0,3.23
1952 Winter Olympics,34,1952,Sweden,0,0,4,4,10.0,3.99
1952 Winter Olympics,34,1952,Switzerland,0,0,2,2,10.0,2.0
1952 Winter Olympics,34,1952,France,0,0,1,1,5.0,1.0
1952 Winter Olympics,34,1952,Hungary,0,0,1,1,1.0,1.0
1956 Winter Olympics,35,1956,Soviet Union,7,3,6,16,132.0,16.05
1956 Winter Olympics,35,1956,Austria,4,3,4,11,8.0,10.18
1956 Winter Olympics,35,1956,Finland,3,3,1,7,9.0,6.98
1956 Winter Olympics,35,1956,Switzerland,3,2,1,6,2.0,6.17
1956 Winter Olympics,35,1956,Sweden,2,4,4,10,4.0,9.82
1956 Winter Olympics,35,1956,United States,2,3,2,7,11.0,7.01
1956 Winter Olympics,35,1956,Norway,2,1,1,4,16.0,4.0
1956 Winter Olympics,35,1956,Italy,1,2,0,3,2.0,3.0
1956 Winter Olympics,35,1956,Germany,1,0,1,2,7.0,2.0
1956 Winter Olympics,35,1956,Canada,0,1,2,3,2.0,3.0
1956 Winter Olympics,35,1956,Japan,0,1,0,1,58.0,1.0
1956 Winter Olympics,35,1956,Hungary,0,0,1,1,1.0,1.0
1956 Winter Olympics,35,1956,Poland,0,0,1,1,14.0,1.0
1960 Winter Olympics,36,1960,Soviet Union,7,5,9,21,16.0,21.05
1960 Winter Olympics,36,1960,Germany,4,3,1,8,2.0,7.7
1960 Winter Olympics,36,1960,United States,3,4,3,10,7.0,9.98
1960 Winter Olympics,36,1960,Norway,3,3,0,6,4.0,6.28
1960 Winter Olympics,36,1960,Sweden,3,2,2,7,10.0,7.05
1960 Winter Olympics,36,1960,Finland,2,3,3,8,7.0,8.37
1960 Winter Olympics,36,1960,Canada,2,1,1,4,3.0,4.0
1960 Winter Olympics,36,1960,Switzerland,2,0,0,2,6.0,2.0
1960 Winter Olympics,36,1960,Austria,1,2,3,6,11.0,6.01
1960 Winter Olympics,36,1960,France,1,0,2,3,1.0,3.0
1960 Winter Olympics,36,1960,Netherlands,0,1,1,2,3.0,2.0
1960 Winter Olympics,36,1960,Poland,0,1,1,2,1.0,2.0
1960 Winter Olympics,36,1960,Czechoslovakia,0,1,0,1,1.0,1.0
1960 Winter Olympics,36,1960,Italy,0,0,1,1,3.0,1.0
1964 Winter Olympics,37,1964,Soviet Union,11,8,6,25,21.0,25.08
1964 Winter Olympics,37,1964,Austria,4,5,3,12,6.0,11.94
1964 Winter Olympics,37,1964,Norway,3,6,6,15,6.0,15.12
1964 Winter Olympics,37,1964,Finland,3,4,3,10,8.0,9.95
1964 Winter Olympics,37,1964,France,3,4,0,7,3.0,7.07
1964 Winter Olympics,37,1964,Germany,3,3,3,9,8.0,9.06
